Source;Target;Type;Weight
Spock;Leonard;Undirected;1
Spock;Sheldon;Undirected;3
Mrs Koothrapalli;Raj;Undirected;2
Various;Stuart;Undirected;1
Penny’s Dad;Leonard;Undirected;1
Penny’s Dad;Penny;Undirected;1
Missy;Leonard;Undirected;2
Missy;Sheldon;Undirected;3
Missy;Howard;Undirected;2
Missy;Raj;Undirected;1
Phone;Siri;Undirected;1
Announcer;Santa;Undirected;1
Mr Rostenkowski;Rai;Undirected;1
Guy at door;Howard;Undirected;1
Dr Massimino;Mass;Undirected;1
Leonard’s Mother;Beverley;Undirected;1
Judge;Sheldon;Undirected;1
Kevn;Wil;Undirected;1
Stuart;Sheldon;Undirected;15
Stuart;Story;Undirected;1
Stuart;Woman;Undirected;1
Stuart;Guy;Undirected;1
Stuart;Together;Undirected;1
Stuart;Bernadette;Undirected;4
Stuart;Stan Lee;Undirected;1
Stuart;Wil Wheaton;Undirected;3
Stuart;Korean;Undirected;1
Stuart;Penny;Undirected;8
Stuart;Howard’s mother;Undirected;1
Stuart;Jesse;Undirected;2
Stuart;Leonard;Undirected;11
Stuart;Santa;Undirected;1
Stuart;Todd;Undirected;1
Stuart;Howard;Undirected;7
Stuart;Wil;Undirected;6
Stuart;Raj;Undirected;4
Stuart;Sweatpants;Undirected;1
Stuart;Amy;Undirected;1
Stuart;Hot girl;Undirected;1
Stuart;Rai;Undirected;2
Stuart;Everyone;Undirected;1
Mrs Koothrappali;Sheldon;Undirected;1
Mrs Koothrappali;Bernadette;Undirected;1
Mrs Koothrappali;Penny;Undirected;1
Mrs Koothrappali;Howard;Undirected;2
Mrs Koothrappali;Lakshmi;Undirected;1
Mrs Koothrappali;Lalita;Undirected;3
Mrs Koothrappali;Raj;Undirected;4
Dr Gablehouser;Dr Hofstadter;Undirected;1
Jimmy;Leonard;Undirected;3
Martha;Sheldon;Undirected;1
David;Leonard;Undirected;6
David;Dave;Undirected;1
David;Penny;Undirected;1
David;Gablehauser;Undirected;1
Lesley;Leonard;Undirected;7
Good looking man coming up stairs;Penny;Undirected;1
Gablehauser;Dr Koothrappali;Undirected;2
Gablehauser;Howard;Undirected;1
Warrior;Leonard;Undirected;1
Warrior;Penny;Undirected;2
Warrior;Howard;Undirected;1
Tom;Penny;Undirected;2
ISS voice;Houston;Undirected;2
Seibert;Leonard;Undirected;1
Seibert;Howard;Undirected;1
Seibert;Raj;Undirected;1
James Earl Jones;Leonard;Undirected;1
Official;Story;Undirected;1
Official;Penny;Undirected;1
LeVar Burton;Sheldon;Undirected;1
Arthur;Korean;Undirected;1
Arthur;Sheldon;Undirected;8
Arthur;Leonard;Undirected;1
Arthur;Professor Proton;Undirected;2
Alice;Leonard;Undirected;1
Girl in Butterfly Costume;Raj;Undirected;1
Mrs Fowler;Sheldon;Undirected;1
Mrs Fowler;Amy;Undirected;2
Dave;Leonard;Undirected;2
Dave;Sheldon;Undirected;4
Dave;Amy;Undirected;3
Girl;Leonard;Undirected;1
Girl;Bethany;Undirected;1
Girl;Abby;Undirected;1
Girl;Ramona;Undirected;1
Girl;Penny;Undirected;1
Girl;Howard;Undirected;2
Girl;Kathy;Undirected;1
Girl;Vanessa;Undirected;1
Girl;Raj;Undirected;1
Beverley;Leonard;Undirected;10
Beverley;Sheldon;Undirected;6
Beverley;Howard;Undirected;2
Beverley;Penny;Undirected;1
Beverley;Raj;Undirected;1
Woman;Leonard;Undirected;1
Woman;Angela;Undirected;1
Woman;Michaela;Undirected;1
Woman;Penny;Undirected;1
Woman;Laura;Undirected;1
Woman;Howard;Undirected;1
Woman;Raj;Undirected;1
Ramona;Leonard;Undirected;1
