Caption;URL
|mstrkrftz:

Mount Rinjani by Herry|;http://40.media.tumblr.com/c7dac8bdd2867951fb9619f63f86b2e5/tumblr_n7e1gnBimv1qin2xoo1_500.jpg
#BreakDownWalls http://ift.tt/1zxsymc;http://36.media.tumblr.com/484c9cda70be148724f0bd86ca4daaa0/tumblr_n8mqh3WeOW1r3jlrgo1_500.jpg
Ballintoy Harbor, Northern Ireland;http://41.media.tumblr.com/7710644506e188aac6da18daf387b098/tumblr_n76hnm6P8g1tx6z1no1_1280.jpg
Rio de Janeiro;http://40.media.tumblr.com/5f6e9944386a981968d705fd67f26a95/tumblr_n0ds8oJGVh1ql734to1_1280.png
Otranto, Italy;http://40.media.tumblr.com/3cbe7e41e80d11f5cd11d3cbb5ae22be/tumblr_n83srbFwU91s96rjlo1_1280.jpg
Japan;http://40.media.tumblr.com/790ba1afae79cce1a4358f606f3024fc/tumblr_n3vib7908J1qin2xoo1_500.jpg
New York City;http://41.media.tumblr.com/37d600fd90bc80b59b597277e95c03a6/tumblr_n8dbl7zJxs1qez43mo1_1280.jpg
Havana, Cuba;http://41.media.tumblr.com/bdf1216bbab60eba28297b49a2cb67bf/tumblr_n77u0wPmQb1r1vfbso1_1280.jpg
Rome, Italy;http://41.media.tumblr.com/0005aea00005d47ff7e72e8b82683d14/tumblr_mfjw1m7y9U1qfaioqo1_1280.jpg
Canterbury, England;http://40.media.tumblr.com/69ce4f8039cbf997bb930252d6ce9ef8/tumblr_n6y46kDsIL1qb0bzxo1_1280.jpg
Burano, Italy;http://41.media.tumblr.com/tumblr_m26llrVCrq1qz4edwo1_1280.jpg
Positano, Italy;http://36.media.tumblr.com/03da3843319c9309e004b1904c2cf411/tumblr_n6k4xvD3QT1rp1s63o1_500.jpg
Amsterdam, The Netherlands;http://40.media.tumblr.com/1aa133734b9af90fc607f9700165e35c/tumblr_mw086ydsu41rgk6n3o1_540.jpg
San Francisco;http://40.media.tumblr.com/9e19a4171082b9268ae8b57cd77899fc/tumblr_mrl45p5F981rtp2uuo1_500.png
New York City;http://41.media.tumblr.com/ee85fa0ddb586bc450d8b06f0ef766ee/tumblr_n7l4kceN4u1qkol0qo1_1280.jpg
Paris, France;http://36.media.tumblr.com/647e26f13d9ab206a9be5cbaa56242eb/tumblr_n81pdfYRo91sj8erzo1_500.jpg
Valbonne, France;http://41.media.tumblr.com/20d94088996f0f275984029803d3df87/tumblr_mfvjv4zo5g1qkww7to1_500.jpg
New York City;http://41.media.tumblr.com/tumblr_m8pmcb3Rms1r3b4cmo1_1280.jpg
Rio de Janeiro, Brazil;http://40.media.tumblr.com/14f3506e4538c4c50d624faf520d3daf/tumblr_mwlhbufRV71r787hmo1_500.png
Rome, Italy;http://41.media.tumblr.com/d7d45f31317b7ee62498ed5dac5a112b/tumblr_n35tkdnVzJ1qiad10o1_500.jpg
Chios, Greece;http://40.media.tumblr.com/49c3da0cfa576893e01959097dde0bac/tumblr_mmjq92zSn11rn0oofo1_1280.jpg
Winskill, England;http://40.media.tumblr.com/3153f1f4c56b2ddfe55f18890c12edf3/tumblr_mjjuvm6Hi11qb5cdqo1_500.jpg
Dinan, France;http://40.media.tumblr.com/52867d5d4ad02079360433c3800c5c64/tumblr_n743w29gtI1qb0bzxo1_1280.jpg
Prague, Czech Republic;http://40.media.tumblr.com/0f84174b61ee2d134c504e1a2d3160ed/tumblr_n12l4e4Y7E1rqx86wo1_1280.png
San Miguel de Allende, Mexico;http://40.media.tumblr.com/47cb9d606545a22100ac031b42dcba00/tumblr_n71b90QmYx1s885yso1_500.jpg
Paris, France;http://40.media.tumblr.com/eaabbb3bc7aa12544607cb1294752af1/tumblr_mtwdh5TFLw1qc8le9o1_500.jpg
Menorca, Spain;http://41.media.tumblr.com/c546629b6efeb9ea2b04d64ebc1ed13f/tumblr_mmdowftoMn1r37yiwo1_500.jpg
London, England;http://36.media.tumblr.com/663a6eb6f7283939de64be45dd4b8769/tumblr_n4jywzljER1rpb7fho1_500.jpg
Santiago de Compostela, Spain;http://41.media.tumblr.com/tumblr_m0cngeB7Te1qb0bzxo1_500.jpg
Saint Paul de Vence, France;http://41.media.tumblr.com/tumblr_lq65nmU4bT1qjkl60o1_500.jpg
Seattle, Washington;http://40.media.tumblr.com/0dfb93579d44e5802aaffe5297bf1d84/tumblr_mkdup1wgYP1qfji2jo1_500.jpg
Paris, France;http://40.media.tumblr.com/0813a2f20c228fb680d8da56e923e3df/tumblr_n85762k3uJ1qb0bzxo1_1280.jpg
Moscow, Russia;http://40.media.tumblr.com/185bf4251258e12336e2aa5e053afa6f/tumblr_n7y88f3SkL1r94argo1_500.png
Los Angeles, California;http://41.media.tumblr.com/6510f78f8400b3c33a067f2025fc4521/tumblr_n6nnccagjI1rub0hvo1_500.png
Valbonne, France;http://40.media.tumblr.com/c94199db0655860ccd213e3823f2b6ed/tumblr_n638v5exBN1r97fzco1_1280.jpg
Verona, Italy;http://40.media.tumblr.com/aeddc25f853994cc6d6a4515a2547478/tumblr_n1rs7cvDHL1qiad10o1_500.jpg
San Diego, California;http://40.media.tumblr.com/48317d56392f451f67f09be542392daf/tumblr_n7m70mJdWR1snegd3o1_1280.jpg
New York City;http://41.media.tumblr.com/24788bb5e31bd274fb1f00be3e79288f/tumblr_n4o5aqV62j1qkfpxgo1_r1_1280.jpg
Largny-sur-Automne, France;http://40.media.tumblr.com/b735d84228bbaf6389b11352f3727bdf/tumblr_n6nnxmkTxO1qb0bzxo1_1280.jpg
Lake Como, Italy;http://41.media.tumblr.com/tumblr_m5yh9q9vdV1qcwmkyo1_500.jpg
The Alps, Switzerland;http://40.media.tumblr.com/4280e19bde6c687d6674143dc35473a6/tumblr_n7q1yj90AY1rtbxrwo1_500.jpg
